prompt_id,clean_text,company,llm_prediction
29,my iphones will not connect to the internet via wifi yet my ipad will,applesupport,applesupport
30,my apple maps right now apparently ive been driving in the forest for a while thanks for that great ios update,applesupport,applesupport
31,had to deboard my flight so they could run a maintenance test before reboarding and taking off not terrifying at all,delta,delta
32,im sure it does i just want to know how,delta,delta
33,now can you please do something about seats on from lax worst ever experience in first class terrible seating,delta,delta
34,help i need my tsa precheck number added to my flight tomorrow,delta,delta
35,i got disconnected while being transferred to a supervisor this is so frustrating,delta,delta
36,its late were tired and youve got man working the gate with travelers to board a flight due to leave in min,delta,delta
37,i paid for checked baggage and another for a lost bathing suit when we arrived in cancun money wasted,delta,delta
38,ty for understanding any st class option upgrade for the am flight,delta,delta
39,been trying to reach a rep or manager cant threw hold time is hrs like very dissatisfied,delta,delta
40,thanks for delaying me hours in the airport charge your plane next time,delta,delta
41,how many cookies do i have to send you for an snagtlih route,southwestair,southwestair
42,no this is my th flight without my status on my ticket it deficits the purpose inot happy at all and im seriously considering switching to other airlines,southwestair,southwestair
43,making it traveler specific isnt really a good business model it should be credit card specific since a lot of people purchase flights for family members but whatever thats why there are other airlines to choose from,southwestair,southwestair
44,why cant itineraries with multiple passengers have mobile boarding passes had a difficult time printing boarding passes,southwestair,southwestair
45,also the staff at san diego airport are rude not empathetic and worst of all not helpful,southwestair,southwestair
46,thx u all are the best havent flown domestic on any other airline in forever amp i travel a lot have a great wkend,southwestair,southwestair
47,haha no complaints with you guys i actually had an issue last week when the chicago airport closed and you guys went above and beyond to make it up time and time againyouve got a customer for life,southwestair,southwestair
48,were sorry to hear that doesnt solve anything and your customer care department did everything but take care of the issue,southwestair,southwestair
49,is the cutest they never cease to make me feel warm amp fuzzy thank you for getting me to friends amp fam safely,southwestair,southwestair
50,which i am currently working on it doesnt excuse poor customer service though when i have had a terrible experience so far,southwestair,southwestair
51,when did my premium subscription end i was billed on so i thought it would be good until thanks,spotifycares,spotifycares
52,is there any way i can track this or other bugs i honestly dont care about this one in particular,spotifycares,spotifycares
53,the facebook staff already solved it thanks,spotifycares,spotifycares
54,i cant renew my spotify premium for students you guys are unable to verify me,spotifycares,spotifycares
55,yes thanks spotify love u,spotifycares,spotifycares
56,i have all my songs downloaded so it happens only with them,spotifycares,spotifycares
57,can put the first vixx album on spotify,spotifycares,spotifycares
58,i reverified my student status last month when i was notified it expired and was charged but this month i was charged instead i think i need to change my account again for some reason but is there any way to get that back,spotifycares,spotifycares
59,well webservice should be clear as in your website both chrome and firefox on windows the newest android app updated just today on android oo,spotifycares,spotifycares
60,thankyou,spotifycares,spotifycares
61,falseadvertising christmas cookies spotthe difference tesco this makes me sad would this happened christmascookies rt,tesco,tesco
62,serpentine green peterborough,tesco,tesco
63,another photo to show how gross it was straight out of the packet ick,tesco,tesco
64,your prices have increased dramatically,tesco,tesco
65,hi reece thx for getting back white sub roll pk ashby de la zouch usually theyre ok but could hammer a nail into wood with these two,tesco,tesco
66,bought this in store today and only realised now that its out of date,tesco,tesco
67,it is at ystad mynach tesco,tesco,tesco
68,why does it say out of stock on all postcodes,tesco,tesco
69,all sorted now thank you,tesco,tesco
70,i would but ive eaten them now i didnt have my receipt amp i threw the empty wrapper in the bin,tesco,tesco
71,dont be as lazy as your driver,uber_support,uber_support
72,my food order never arrived i need a refund how can i get this,uber_support,uber_support
73,honestly sucks they charge you times for bucks each and dont even care fuck them i hate yall give me my money back,uber_support,uber_support
74,how do i fix this this driver probably shouldnt be on the road also this ride wasnt a pool,uber_support,uber_support
75,my email address is email,uber_support,uber_support
76,even called uber support and was on the line for so long and they just told me to try again thats not fair at all this is wasting everyones time,uber_support,uber_support
77,that sound like a very robotic reply,uber_support,uber_support
78,no need already sent the request to delete my account toomanysecondchances,uber_support,uber_support
79,my email id email,uber_support,uber_support
80,any reason why your navigation app decides to make the journey longer than it needs to be,uber_support,uber_support
81,the london euston train at to preston,virgintrains,virgintrains
82,sounds like a good reason not to frack,virgintrains,virgintrains
83,i then found outit was her that had the issue after i said that ive never been madeto feel so awkward or unwelcome,virgintrains,virgintrains
84,thanks what time are they open till been on hold for mins,virgintrains,virgintrains
85,but im a euston what should i do,virgintrains,virgintrains
86,bit of a queue for a bus,virgintrains,virgintrains
87,not very good that im left waiting around at night for this long though,virgintrains,virgintrains
88,thanks for response on this still perplexed that no one could contact train staff,virgintrains,virgintrains
89,i dont think hell have much choice hell might have a revolt on his hands lol first class full with people in the aisles,virgintrains,virgintrains
90,you know sometimes even saying you have no information is better than silence or preparing,virgintrains,virgintrains
